"Kode","Stednavn","region","big_category_code","big_category","small_category_code","small_category","west_of_Helsingør","decLatitude","decLongitude","Modern_Country","Modern_name","Province","Remark","Zoom"
"015NIV","Nivå","Danmark","1","The Baltic","1","Denmark","false","55.93124000","12.51688900","Denmark","Nivå","Capital Region",,"11"
"015NOR","Nørre Sundby","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","57.06972200","9.90305500","Denmark","Nørresundby","North Jutland",,"11"
"015OEE","Øresund (dansk kyst)","Danmark","1","The Baltic","1","Denmark","false","55.83333300","12.66666600","Denmark","Øresund","Capital Region",,"11"
"015OKH","Okholm","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","57.06666600","9.58333300","Denmark","Oksholm","North Jutland",,"11"
"015ORO","Ourø","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.76666600","11.81666600","Denmark","Orø","Zealand",,"11"
"015PRA","Præstø","Danmark","1","The Baltic","1","Denmark","false","55.11666600","12.05000000","Denmark","Præstø","Zealand",,"11"
"015SEJ","Sejerø","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.88333300","11.15000000","Denmark","Sejerø","Zealand",,"11"
"015SKS","Skovshoved","Danmark","1","The Baltic","1","Denmark","false","55.76666600","12.60000000","Denmark","Skovshoved","Capital Region",,"11"
"015SLA","Slagelse","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.40250000","11.35444400","Denmark","Slagelse","Zealand",,"11"
"015SLP","Slangerup","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","55.85000000","12.18333300","Denmark","Slangerup","Capital Region",,"11"
"015STE","Stege","Danmark","1","The Baltic","1","Denmark","false","54.98333300","12.30000000","Denmark","Stege","Zealand",,"11"
"015STG","Storehedinge","Danmark","1","The Baltic","1","Denmark","false","55.30944400","12.38861100","Denmark","Store Heddinge","Zealand",,"11"
"015STS","Stevens Klint","Danmark","1","The Baltic","1","Denmark","false","55.27951800","12.44623600","Denmark","Stevns Klint","Zealand",,"11"
"015TBY","Tårnby","Danmark","1","The Baltic","1","Denmark","false","55.62505600","12.58794200","Denmark","Tårnby","Capital Region",,"11"
"015VAL","Vallø","Danmark","1","The Baltic","1","Denmark","false","55.40000000","12.25000000","Denmark","Valløby","Zealand",,"11"
"015VOR","Vordingborg","Danmark","1","The Baltic","1","Denmark","false","55.00777700","11.91055500","Denmark","Vordingborg","Zealand",,"11"
"016VIB","Viborg","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","56.45305500","9.40194400","Denmark","Viborg","Central Jutland",,"11"
"016VOR","Vor","Danmark","14","Skagerrak, Kattegat (Denmark, Sweden)","1","Denmark","true","56.51666600","10.26666600","Denmark","Voer","Central Jutland",,"11"
"017AAH","Aalholm","Danmark","1","The Baltic","1","Denmark","false","54.66534800","11.72309300","Denmark","Ålholm","Zealand",,"11"
"017BAD","Bandholm","Danmark","1","The Baltic","1","Denmark","false","54.83333300","11.48333300","Denmark","Bandholm","Zealand",,"11"
"017FAS","Falster","Danmark","1","The Baltic","1","Denmark","false","54.86220000","11.91090000","Denmark","Falster","Zealand","Island","9"
"017FEJ","Fejø","Danmark","1","The Baltic","1","Denmark","false","54.95000000","11.43333300","Denmark","Fejø","Zealand",,"11"
"017FEO","Femø","Danmark","1","The Baltic","1","Denmark","false","54.98000000","11.53000000","Denmark","Femø","Zealand",,"11"
"017GRS","Grønsund","Danmark","1","The Baltic","1","Denmark","false","54.88333300","12.13333300","Denmark","Grønsund","Zealand",,"11"
"017LOL","Lolland","Danmark","1","The Baltic","1","Denmark","false","54.80222200","11.29500000","Denmark","Lolland","Zealand",,"9"
"017MAK","Maribo","Danmark","1","The Baltic","1","Denmark","false","54.77638800","11.50000000","Denmark","Maribo","Zealand",,"11"
"017MOG","Møgeltønder","Danmark","2","North Sea (German/Danish coast)","1","Denmark","true","54.91666600","8.78333300","Denmark","Møgeltønder Kog","South Denmark",,"11"
"017NAK","Nakskov","Danmark","1","The Baltic","1","Denmark","false","54.83333300","11.15000000","Denmark","Nakskov","Zealand",,"11"
"017NYK","Nykøbing Falster","Danmark","1","The Baltic","1","Denmark","false","54.76888800","11.87416600","Denmark","Nykøbing Falster","Zealand","Op Lolland","11"
"017NYT","Nysted","Danmark","1","The Baltic","1","Denmark","false","54.66666600","11.75000000","Denmark","Nysted","Zealand",,"11"
"017ROE","Rødby","Danmark","1","The Baltic","1","Denmark","false","54.70000000","11.40000000","Denmark","Rødby","Zealand",,"11"
"017SAK","Sakskøbing","Danmark","1","The Baltic","1","Denmark","false","54.80000000","11.65000000","Denmark","Sakskøbing","Zealand",,"11"
"017SLE","Sletteren","Danmark","1","The Baltic","1","Denmark","false","54.94585900","11.46500100","Denmark","Sletteren","Zealand",,"11"
"017STU","Stubbekøbing","Danmark","1","The Baltic","1","Denmark","false","54.88861100","12.04083300","Denmark","Stubbekøbing","Zealand",,"11"
